,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
831,0.11,0.2,85,34,63
832,0.11,0.21,82,34,65
833,0.11,0.21,75,34,67
834,0.11,0.22,71,34,69
835,0.11,0.23,70,34,71
836,0.1,0.23,66,34,73
837,0.1,0.24,66,34,75
838,0.1,0.24,63,34,77
839,0.1,0.25,58,34,79
840,0.1,0.26,53,34,81
841,0.1,0.26,51,34,83
842,0.1,0.27,46,34,85
843,0.1,0.28,43,34,87
844,0.1,0.28,39,34,89
845,0.1,0.29,38,34,91
846,0.1,0.29,36,34,93
847,0.1,0.3,33,34,95
848,0.1,0.3,32,34,97
849,0.1,0.31,30,34,99
850,0.28,0.01,677,36,1
851,0.25,0.03,447,36,3
852,0.23,0.04,345,36,5
853,0.21,0.05,295,36,7
854,0.2,0.06,262,36,9
855,0.19,0.07,239,36,11
856,0.18,0.08,230,36,13
857,0.17,0.09,211,36,15
858,0.16,0.09,200,36,17
859,0.16,0.1,190,36,19
860,0.15,0.11,188,36,21
861,0.15,0.11,179,36,23
